Cod;Finca;Ano;Año;FA;Semana;PPI;pH;Al;CE;MO;Cas;Mgs;Ks;Nas;Ps;Zns;Fes;Mns;Cus;Bs;Ss;CICE;CaMg;CaK;CaNa;CaP;CaZn;CaHie;CaMn;CaCu;CaB;CaS;MgK;MgNa;MgP;MgZn;MgFe;MgMn;MgCu;MgB;MgS;Kna;KP;KZn;Kfe;KMn;Kcu;KB;KS;PZn;Pfe;PMn;Pcu;PB;PS;Znfe;ZnMn;Zncu;ZnB;ZnS;FeMn;Fecu;FeB;FeS;MnCu;MnB;MnS;CuB;CuS;BS;Pcai;Pmgi;Pki;Pnai;CaMgK;Nf;Pf;Kf;Caf;Mgf;Sf;Mnf;Fef;Znf;Cuf;Bf;Naf;NPf;NKf;NCaf;NMgf;NSf;NMnf;NFef;NZnf;NCuf;NBf;NNaf;PKf;PCaf;PMgf;PSf;PMnf;PFef;PZnf;PCuf;PBf;PNaf;KCaf;KMgf;KSf;KMnf;KFef;KZnf;KCuf;KBf;KNaf;CaMgf;CaSf;CaMnf;CaFef;CaZnf;CaCuf;CaBf;CaNaf;MgSf;MgMnf;MgFef;MgZnf;MgCuf;MgBf;MgNaf;SMnf;SFef;SZnf;SCuf;SBf;SNaf;MnFef;MnZnf;MnCuf;MnBf;MnNaf;FeZnf;FeCuf;FeBf;FeNaf;ZnCuf;ZnBf;ZnNaf;CuBf;CuNaf;BNaf;HT;HJLI;HMJE;PPM;TMIN;TMAX;Da;Microp;Macrop;Ar;A
Ev11.36;Eva;2011;Año1;Ev11;36;2,48;5,18;0,22;0,28;17,6;5,3;1,46;0,55;0,09;46,62;3,06;425,58;31,84;7,78;0,03;11,35;7,4;3,63;9,64;58,89;0,11;1,73;0,01;0,17;0,68;176,67;0,47;2,65;16,22;0,03;0,48;0;0,05;0,19;48,67;0,13;6,11;0,01;0,18;0;0,02;0,07;18,33;0,05;15,24;0,11;1,46;5,99;1554;4,11;0,01;0,1;0,39;102;0,27;13,37;54,7;14186;37,5;4,09;1061,33;2,81;259,33;0,69;0;71,62;19,73;7,43;1,22;12,29;28,3;1,77;40,13;8,4;2,21;2,06;393,45;144,15;46,46;5,64;15,43;46,14;15,99;0,71;3,37;12,79;13,76;0,07;0,2;0,61;5,02;1,83;0,61;0,04;0,21;0,8;0,86;0;0,01;0,04;0,31;0,11;0,04;4,78;18,14;19,52;0,1;0,28;0,86;7,12;2,6;0,87;3,79;4,08;0,02;0,06;0,18;1,49;0,54;0,18;1,08;0,01;0,02;0,05;0,39;0,14;0,05;0,01;0,01;0,04;0,36;0,13;0,04;2,73;8,47;69,81;25,5;8,53;3,1;25,58;9,34;3,12;8,24;3,01;1,01;0,37;0,12;0,33;13,6;8,8;9,8;0;22,5;35,5;1,15;9,3;15,1;24,54;69,44
Ev11.37;Eva;2011;Año1;Ev11;37;2,49;5,57;0,07;0,8;17,94;8,12;2,14;0,42;0,18;65,22;5,63;413,89;60,89;15,8;0,09;50,81;10,86;3,79;19,33;45,11;0,12;1,44;0,02;0,13;0,51;90,22;0,16;5,1;11,89;0,03;0,38;0,01;0,04;0,14;23,78;0,04;2,33;0,01;0,07;0;0,01;0,03;4,67;0,01;11,58;0,16;1,07;4,13;724,67;1,28;0,01;0,09;0,36;62,56;0,11;6,8;26,2;4598,78;8,15;3,85;676,56;1,2;175,56;0,31;0;74,77;19,71;3,87;1,66;24,43;29,9;1,89;39,61;9,52;2,75;2,15;378,93;208,17;45,42;6,09;19,02;65,07;15,79;0,75;3,14;10,86;13,89;0,08;0,14;0,66;4,91;1,57;0,46;0,05;0,2;0,69;0,88;0;0,01;0,04;0,31;0,1;0,03;4,16;14,38;18,4;0,1;0,19;0,87;6,5;2,08;0,61;3,46;4,42;0,03;0,05;0,21;1,56;0,5;0,15;1,28;0,01;0,01;0,06;0,45;0,14;0,04;0,01;0,01;0,05;0,35;0,11;0,03;1,82;8,34;62,18;19,92;5,82;4,58;34,16;10,94;3,2;7,45;2,39;0,7;0,32;0,09;0,29;13,8;8,8;9,8;56;22,8;36;1,15;12,3;15,5;24,54;69,44
Ev11.38;Eva;2011;Año1;Ev11;38;2,04;5,23;0,12;0,55;14,15;5,9;1,7;0,27;0,16;38,11;5,55;365,36;40,67;7,34;0,06;33,94;8,03;3,47;21,85;36,88;0,15;1,06;0,02;0,15;0,8;98,33;0,17;6,3;10,63;0,04;0,31;0;0,04;0,23;28,33;0,05;1,69;0,01;0,05;0;0,01;0,04;4,5;0,01;6,87;0,1;0,94;5,19;635,17;1,12;0,02;0,14;0,76;92,5;0,16;8,98;49,78;6089,33;10,76;5,54;677,83;1,2;122,33;0,22;0;73,47;21,17;3,36;1,99;28,15;32,5;1,99;41,52;11,77;3,25;2,32;497,27;323,16;41,31;6,69;19,64;61,37;16,35;0,78;2,76;10;13,99;0,07;0,1;0,79;4,85;1,66;0,53;0,05;0,17;0,61;0,86;0;0,01;0,05;0,3;0,1;0,03;3,53;12,77;17,87;0,08;0,13;1,01;6,2;2,11;0,68;3,62;5,06;0,02;0,04;0,28;1,76;0,6;0,19;1,4;0,01;0,01;0,08;0,49;0,17;0,05;0;0,01;0,06;0,35;0,12;0,04;1,54;12,04;74,28;25,33;8,1;7,82;48,27;16,46;5,27;6,17;2,1;0,67;0,34;0,11;0,32;13,2;8,8;9,8;38;22,4;36;1,15;8,9;19,8;24,54;69,44
Ev11.39;Eva;2011;Año1;Ev11;39;2,65;5,48;0,1;0,57;15,87;7,22;2,02;0,21;0,13;45,41;5,46;386,9;63,74;14,3;0,07;33,17;9,58;3,57;34,38;55,54;0,16;1,32;0,02;0,11;0,5;103,14;0,22;9,62;15,54;0,04;0,37;0,01;0,03;0,14;28,86;0,06;1,62;0;0,04;0;0;0,01;3;0,01;8,32;0,12;0,71;3,18;648,71;1,37;0,01;0,09;0,38;78;0,16;6,07;27,06;5527,14;11,66;4,46;910,57;1,92;204,29;0,43;0;75,37;21,09;2,19;1,36;44;27,9;1,94;39,78;8,3;2,96;2,13;363,27;143,99;34,69;6,8;16,9;59,98;14,37;0,7;3,36;9,42;13,12;0,08;0,19;0,8;4,11;1,65;0,47;0,05;0,23;0,66;0,91;0,01;0,01;0,06;0,29;0,11;0,03;4,79;13,43;18,7;0,11;0,28;1,15;5,85;2,35;0,66;2,8;3,9;0,02;0,06;0,24;1,22;0,49;0,14;1,39;0,01;0,02;0,09;0,44;0,18;0,05;0,01;0,01;0,06;0,31;0,13;0,04;2,52;10,47;53,46;21,49;6,06;4,15;21,19;8,52;2,4;5,1;2,05;0,58;0,4;0,11;0,28;12;7,4;8,4;47,3;22,4;36;1,15;6,6;16,2;24,54;69,44
Ev11.40;Eva;2011;Año1;Ev11;40;2,64;5,8;0,07;0,79;15,53;9,42;2,92;0,17;0,15;29,05;5,5;354,45;70,63;20,23;0,05;60,04;12,66;3,23;55,41;62,8;0,32;1,71;0,03;0,13;0,47;188,4;0,16;17,18;19,47;0,1;0,53;0,01;0,04;0,14;58,4;0,05;1,13;0,01;0,03;0;0;0,01;3,4;0;5,28;0,08;0,41;1,44;581;0,48;0,02;0,08;0,27;110;0,09;5,02;17,52;7089;5,9;3,49;1412,6;1,18;404,6;0,34;0;74,41;23,06;1,34;1,18;72,59;30,8;1,96;43,79;13,46;2,64;2,21;335,08;268,69;54,91;7,17;20,85;78,83;15,72;0,7;2,29;11,68;13,95;0,09;0,11;0,56;4,3;1,48;0,39;0,04;0,15;0,74;0,89;0,01;0,01;0,04;0,27;0,09;0,02;3,25;16,61;19,84;0,13;0,16;0,8;6,11;2,1;0,56;5,1;6,1;0,04;0,05;0,25;1,88;0,65;0,17;1,19;0,01;0,01;0,05;0,37;0,13;0,03;0,01;0,01;0,04;0,31;0,11;0,03;1,25;6,1;46,75;16,07;4,25;4,89;37,49;12,89;3,41;7,66;2,63;0,7;0,34;0,09;0,26;13,8;9;10;34;22,4;35,8;1,15;6,5;15;24,54;69,44
Ev11.41;Eva;2011;Año1;Ev11;41;2,29;5,35;0,1;1,38;27,26;6;1,24;0,88;0,66;60,22;9,51;342,97;47,12;2,54;0,17;22,22;8,78;4,84;6,82;9,09;0,1;0,63;0,02;0,13;2,36;35,29;0,27;1,41;1,88;0,02;0,13;0;0,03;0,49;7,29;0,06;1,33;0,01;0,09;0;0,02;0,35;5,18;0,04;6,33;0,18;1,28;23,71;354,24;2,71;0,03;0,2;3,74;55,94;0,43;7,28;135,03;2017,47;15,44;18,55;277,18;2,12;14,94;0,11;0,01;68,34;14,12;10,02;7,52;8,23;31,1;1,8;39,26;9,86;2,66;2,45;278,24;120,2;22,6;9,85;18,28;229,66;17,28;0,79;3,15;11,69;12,69;0,11;0,26;1,38;3,16;1,7;0,14;0,05;0,18;0,68;0,73;0,01;0,01;0,08;0,18;0,1;0,01;3,98;14,76;16,02;0,14;0,33;1,74;3,99;2,15;0,17;3,71;4,02;0,04;0,08;0,44;1;0,54;0,04;1,09;0,01;0,02;0,12;0,27;0,15;0,01;0,01;0,02;0,11;0,25;0,13;0,01;2,31;12,31;28,25;15,22;1,21;5,32;12,2;6,58;0,52;2,29;1,24;0,1;0,54;0,04;0,08;13,4;9;10;74,5;21,8;34,9;1,15;6,9;20,4;24,54;69,44
Ev11.42;Eva;2011;Año1;Ev11;42;2,47;5,11;0,25;0,47;13,8;5,62;1,74;0,42;0,14;91,71;6,89;398,85;42,57;36,15;0,03;39,68;7,92;3,23;13,38;40,14;0,06;0,82;0,01;0,13;0,16;187,33;0,14;4,14;12,43;0,02;0,25;0;0,04;0,05;58;0,04;3;0;0,06;0;0,01;0,01;14;0,01;13,31;0,23;2,15;2,54;3057;2,31;0,02;0,16;0,19;229,67;0,17;9,37;11,03;13295;10,05;1,18;1419;1,07;1205;0,91;0;70,96;21,97;5,3;1,77;17,52;26,5;1,9;37,12;9,06;2,46;2,06;498,14;160,39;47,88;8,78;18,31;54,91;13,96;0,71;2,92;10,78;12,83;0,05;0,17;0,55;3,02;1,45;0,48;0,05;0,21;0,77;0,92;0;0,01;0,04;0,22;0,1;0,03;4,1;15,1;17,98;0,07;0,23;0,78;4,23;2,03;0,68;3,69;4,39;0,02;0,06;0,19;1,03;0,5;0,17;1,19;0;0,02;0,05;0,28;0,13;0,04;0;0,01;0,04;0,24;0,11;0,04;3,11;10,4;56,76;27,21;9,07;3,35;18,28;8,76;2,92;5,46;2,62;0,87;0,48;0,16;0,33;13,6;8,8;9,8;84,5;21,9;34,7;1,15;9;13,3;24,54;69,44
Ev11.43;Eva;2011;Año1;Ev11;43;2,46;5,8;0,05;0,38;15,53;7,96;2,12;0,32;0,13;102,53;4,54;363,31;48,78;48,46;0,07;23,17;10,53;3,75;24,88;61,23;0,08;1,75;0,02;0,16;0,16;113,71;0,34;6,63;16,31;0,02;0,47;0,01;0,04;0,04;30,29;0,09;2,46;0;0,07;0;0,01;0,01;4,57;0,01;22,58;0,28;2,1;2,12;1464,71;4,43;0,01;0,09;0,09;64,86;0,2;7,45;7,5;5190,14;15,68;1,01;696,86;2,11;692,29;2,09;0;75,59;20,13;3,04;1,23;31,5;24,1;1,71;33,06;8,97;2,56;1,89;419,45;143,92;54,65;5,58;16,37;36,48;14,07;0,73;2,69;9,41;12,78;0,06;0,17;0,44;4,32;1,47;0,66;0,05;0,19;0,67;0,91;0;0,01;0,03;0,31;0,1;0,05;3,69;12,9;17,52;0,08;0,23;0,6;5,92;2,02;0,91;3,5;4,75;0,02;0,06;0,16;1,61;0,55;0,25;1,36;0,01;0,02;0,05;0,46;0,16;0,07;0;0,01;0,03;0,34;0,12;0,05;2,91;7,68;75,11;25,62;11,5;2,63;25,77;8,79;3,95;9,79;3,34;1,5;0,34;0,15;0,45;13,8;9;10;135,7;21,7;34;1,15;8,9;16,5;24,54;69,44
Ev11.45;Eva;2011;Año1;Ev11;45;2,13;5,26;0,07;0,78;20,7;6,76;1,44;0,58;0,12;49,89;5,24;413,34;40,69;3,55;0,09;28,52;8,9;4,69;11,66;56,33;0,14;1,29;0,02;0,17;1,9;75,11;0,24;2,48;12;0,03;0,27;0;0,04;0,41;16;0,05;4,83;0,01;0,11;0;0,01;0,16;6,44;0,02;9,52;0,12;1,23;14,05;554,33;1,75;0,01;0,13;1,48;58,22;0,18;10,16;116,43;4592,67;14,49;11,46;452,11;1,43;39,44;0,12;0;75,96;16,18;6,52;1,35;14,14;27,3;1,81;38,13;9,13;2,4;2,08;369,99;141,11;38,78;5,58;17,19;53;15,12;0,72;2,99;11,39;13,13;0,07;0,19;0,7;4,89;1,59;0,52;0,05;0,2;0,75;0,87;0;0,01;0,05;0,32;0,11;0,03;4,17;15,91;18,33;0,1;0,27;0,98;6,83;2,22;0,72;3,81;4,39;0,02;0,06;0,24;1,64;0,53;0,17;1,15;0,01;0,02;0,06;0,43;0,14;0,05;0,01;0,01;0,05;0,37;0,12;0,04;2,62;9,54;66,3;21,53;6,98;3,64;25,29;8,21;2,66;6,95;2,26;0,73;0,32;0,11;0,32;14;9,2;10,2;37;22,6;34,3;1,15;10;14,2;24,54;69,44
Ev11.46;Eva;2011;Año1;Ev11;46;2,15;5,18;0,22;0,28;17,6;5,3;1,46;0,55;0,09;46,62;3,06;425,58;31,84;7,78;0,03;11,35;7,4;3,63;9,64;58,89;0,11;1,73;0,01;0,17;0,68;176,67;0,47;2,65;16,22;0,03;0,48;0;0,05;0,19;48,67;0,13;6,11;0,01;0,18;0;0,02;0,07;18,33;0,05;15,24;0,11;1,46;5,99;1554;4,11;0,01;0,1;0,39;102;0,27;13,37;54,7;14186;37,5;4,09;1061,33;2,81;259,33;0,69;0;71,62;19,73;7,43;1,22;12,29;28,3;1,77;40,13;8,4;2,21;2,06;393,45;144,15;46,46;5,64;15,43;46,14;15,99;0,71;3,37;12,79;13,76;0,07;0,2;0,61;5,02;1,83;0,61;0,04;0,21;0,8;0,86;0;0,01;0,04;0,31;0,11;0,04;4,78;18,14;19,52;0,1;0,28;0,86;7,12;2,6;0,87;3,79;4,08;0,02;0,06;0,18;1,49;0,54;0,18;1,08;0,01;0,02;0,05;0,39;0,14;0,05;0,01;0,01;0,04;0,36;0,13;0,04;2,73;8,47;69,81;25,5;8,53;3,1;25,58;9,34;3,12;8,24;3,01;1,01;0,37;0,12;0,33;14;9,6;10,6;10;22,9;34,1;1,15;9,3;17,6;24,54;69,44
Ev11.47;Eva;2011;Año1;Ev11;47;2,56;5,57;0,07;0,8;17,94;8,12;2,14;0,42;0,18;65,22;5,63;413,89;60,89;15,8;0,09;50,81;10,86;3,79;19,33;45,11;0,12;1,44;0,02;0,13;0,51;90,22;0,16;5,1;11,89;0,03;0,38;0,01;0,04;0,14;23,78;0,04;2,33;0,01;0,07;0;0,01;0,03;4,67;0,01;11,58;0,16;1,07;4,13;724,67;1,28;0,01;0,09;0,36;62,56;0,11;6,8;26,2;4598,78;8,15;3,85;676,56;1,2;175,56;0,31;0;74,77;19,71;3,87;1,66;24,43;29,9;1,89;39,61;9,52;2,75;2,15;378,93;208,17;45,42;6,09;19,02;65,07;15,79;0,75;3,14;10,86;13,89;0,08;0,14;0,66;4,91;1,57;0,46;0,05;0,2;0,69;0,88;0;0,01;0,04;0,31;0,1;0,03;4,16;14,38;18,4;0,1;0,19;0,87;6,5;2,08;0,61;3,46;4,42;0,03;0,05;0,21;1,56;0,5;0,15;1,28;0,01;0,01;0,06;0,45;0,14;0,04;0,01;0,01;0,05;0,35;0,11;0,03;1,82;8,34;62,18;19,92;5,82;4,58;34,16;10,94;3,2;7,45;2,39;0,7;0,32;0,09;0,29;14;9,2;10,2;4;22,8;34,6;1,15;12,3;20,5;24,54;69,44
Ev11.48;Eva;2011;Año1;Ev11;48;2,26;5,23;0,12;0,55;14,15;5,9;1,7;0,27;0,16;38,11;5,55;365,36;40,67;7,34;0,06;33,94;8,03;3,47;21,85;36,88;0,15;1,06;0,02;0,15;0,8;98,33;0,17;6,3;10,63;0,04;0,31;0;0,04;0,23;28,33;0,05;1,69;0,01;0,05;0;0,01;0,04;4,5;0,01;6,87;0,1;0,94;5,19;635,17;1,12;0,02;0,14;0,76;92,5;0,16;8,98;49,78;6089,33;10,76;5,54;677,83;1,2;122,33;0,22;0;73,47;21,17;3,36;1,99;28,15;32,5;1,99;41,52;11,77;3,25;2,32;497,27;323,16;41,31;6,69;19,64;61,37;16,35;0,78;2,76;10;13,99;0,07;0,1;0,79;4,85;1,66;0,53;0,05;0,17;0,61;0,86;0;0,01;0,05;0,3;0,1;0,03;3,53;12,77;17,87;0,08;0,13;1,01;6,2;2,11;0,68;3,62;5,06;0,02;0,04;0,28;1,76;0,6;0,19;1,4;0,01;0,01;0,08;0,49;0,17;0,05;0;0,01;0,06;0,35;0,12;0,04;1,54;12,04;74,28;25,33;8,1;7,82;48,27;16,46;5,27;6,17;2,1;0,67;0,34;0,11;0,32;14,4;9,4;10,4;186;21,5;34,3;1,15;8,9;13,1;24,54;69,44
Ev11.49;Eva;2011;Año1;Ev11;49;2,27;5,48;0,1;0,57;15,87;7,22;2,02;0,21;0,13;45,41;5,46;386,9;63,74;14,3;0,07;33,17;9,58;3,57;34,38;55,54;0,16;1,32;0,02;0,11;0,5;103,14;0,22;9,62;15,54;0,04;0,37;0,01;0,03;0,14;28,86;0,06;1,62;0;0,04;0;0;0,01;3;0,01;8,32;0,12;0,71;3,18;648,71;1,37;0,01;0,09;0,38;78;0,16;6,07;27,06;5527,14;11,66;4,46;910,57;1,92;204,29;0,43;0;75,37;21,09;2,19;1,36;44;27,9;1,94;39,78;8,3;2,96;2,13;363,27;143,99;34,69;6,8;16,9;59,98;14,37;0,7;3,36;9,42;13,12;0,08;0,19;0,8;4,11;1,65;0,47;0,05;0,23;0,66;0,91;0,01;0,01;0,06;0,29;0,11;0,03;4,79;13,43;18,7;0,11;0,28;1,15;5,85;2,35;0,66;2,8;3,9;0,02;0,06;0,24;1,22;0,49;0,14;1,39;0,01;0,02;0,09;0,44;0,18;0,05;0,01;0,01;0,06;0,31;0,13;0,04;2,52;10,47;53,46;21,49;6,06;4,15;21,19;8,52;2,4;5,1;2,05;0,58;0,4;0,11;0,28;14,2;10,2;11,2;132;22,6;34,3;1,15;6,6;15,9;24,54;69,44
Ev11.50;Eva;2011;Año1;Ev11;50;2,35;5,8;0,07;0,79;15,53;9,42;2,92;0,17;0,15;29,05;5,5;354,45;70,63;20,23;0,05;60,04;12,66;3,23;55,41;62,8;0,32;1,71;0,03;0,13;0,47;188,4;0,16;17,18;19,47;0,1;0,53;0,01;0,04;0,14;58,4;0,05;1,13;0,01;0,03;0;0;0,01;3,4;0;5,28;0,08;0,41;1,44;581;0,48;0,02;0,08;0,27;110;0,09;5,02;17,52;7089;5,9;3,49;1412,6;1,18;404,6;0,34;0;74,41;23,06;1,34;1,18;72,59;30,8;1,96;43,79;13,46;2,64;2,21;335,08;268,69;54,91;7,17;20,85;78,83;15,72;0,7;2,29;11,68;13,95;0,09;0,11;0,56;4,3;1,48;0,39;0,04;0,15;0,74;0,89;0,01;0,01;0,04;0,27;0,09;0,02;3,25;16,61;19,84;0,13;0,16;0,8;6,11;2,1;0,56;5,1;6,1;0,04;0,05;0,25;1,88;0,65;0,17;1,19;0,01;0,01;0,05;0,37;0,13;0,03;0,01;0,01;0,04;0,31;0,11;0,03;1,25;6,1;46,75;16,07;4,25;4,89;37,49;12,89;3,41;7,66;2,63;0,7;0,34;0,09;0,26;0;0;1;46;21,5;33,6;1,15;12,3;14,3;24,54;69,44
Ev11.51;Eva;2011;Año1;Ev11;51;2,24;5,57;0,07;0,8;17,94;8,12;2,14;0,42;0,18;65,22;5,63;413,89;60,89;15,8;0,09;50,81;10,86;3,79;19,33;45,11;0,12;1,44;0,02;0,13;0,51;90,22;0,16;5,1;11,89;0,03;0,38;0,01;0,04;0,14;23,78;0,04;2,33;0,01;0,07;0;0,01;0,03;4,67;0,01;11,58;0,16;1,07;4,13;724,67;1,28;0,01;0,09;0,36;62,56;0,11;6,8;26,2;4598,78;8,15;3,85;676,56;1,2;175,56;0,31;0;74,77;19,71;3,87;1,66;24,43;29,9;1,89;39,61;9,52;2,75;2,15;378,93;208,17;45,42;6,09;19,02;65,07;15,79;0,75;3,14;10,86;13,89;0,08;0,14;0,66;4,91;1,57;0,46;0,05;0,2;0,69;0,88;0;0,01;0,04;0,31;0,1;0,03;4,16;14,38;18,4;0,1;0,19;0,87;6,5;2,08;0,61;3,46;4,42;0,03;0,05;0,21;1,56;0,5;0,15;1,28;0,01;0,01;0,06;0,45;0,14;0,04;0,01;0,01;0,05;0,35;0,11;0,03;1,82;8,34;62,18;19,92;5,82;4,58;34,16;10,94;3,2;7,45;2,39;0,7;0,32;0,09;0,29;14,4;9,6;10,6;23;21,8;33,8;1,15;12;18,8;24,54;69,44
Ev11.52;Eva;2011;Año1;Ev11;52;2,54;5,23;0,12;0,55;14,15;5,9;1,7;0,27;0,16;38,11;5,55;365,36;40,67;7,34;0,06;33,94;8,03;3,47;21,85;36,88;0,15;1,06;0,02;0,15;0,8;98,33;0,17;6,3;10,63;0,04;0,31;0;0,04;0,23;28,33;0,05;1,69;0,01;0,05;0;0,01;0,04;4,5;0,01;6,87;0,1;0,94;5,19;635,17;1,12;0,02;0,14;0,76;92,5;0,16;8,98;49,78;6089,33;10,76;5,54;677,83;1,2;122,33;0,22;0;73,47;21,17;3,36;1,99;28,15;32,5;1,99;41,52;11,77;3,25;2,32;497,27;323,16;41,31;6,69;19,64;61,37;16,35;0,78;2,76;10;13,99;0,07;0,1;0,79;4,85;1,66;0,53;0,05;0,17;0,61;0,86;0;0,01;0,05;0,3;0,1;0,03;3,53;12,77;17,87;0,08;0,13;1,01;6,2;2,11;0,68;3,62;5,06;0,02;0,04;0,28;1,76;0,6;0,19;1,4;0,01;0,01;0,08;0,49;0,17;0,05;0;0,01;0,06;0,35;0,12;0,04;1,54;12,04;74,28;25,33;8,1;7,82;48,27;16,46;5,27;6,17;2,1;0,67;0,34;0,11;0,32;14,2;9,4;10,4;0;21,4;34,7;1,15;10,2;14,8;24,54;69,44
Do11.1;DonFuad;2011;Año1;Do11;1;3,03;8,03;0,14;0,5;16,22;14,72;10;0,27;0,25;34;2;355;123;16;0,1;11;15,4;1,47;54,52;58,88;0,43;7,36;0,04;0,12;0,92;147,2;1,34;37,04;40;0,29;5;0,03;0,08;0,63;100;0,91;1,08;0,01;0,14;0;0;0,02;2,7;0,02;17;0,1;0,28;2,13;340;3,09;0,01;0,02;0,13;20;0,18;2,89;22,19;3550;32,27;7,69;1230;11,18;160;1,45;0,01;95,58;64,94;1,75;1,62;91,56;30,1;1,7;32,79;8,67;2,46;1,98;628;95;21;9;33;295;17,71;0,92;3,47;12,24;15,2;0,05;0,32;1,43;3,34;0,91;0,1;0,05;0,2;0,69;0,86;0;0,02;0,08;0,19;0,05;0,01;3,78;13,33;16,56;0,05;0,35;1,56;3,64;0,99;0,11;3,52;4,38;0,01;0,09;0,41;0,96;0,26;0,03;1,24;0;0,03;0,12;0,27;0,07;0,01;0;0,02;0,09;0,22;0,06;0,01;6,61;29,9;69,78;19,03;2,13;4,52;10,56;2,88;0,32;2,33;0,64;0,07;0,27;0,03;0,11;13,6;7,8;8,8;1,5;19,3;35,9;1,25;18,6;14,2;35,44;13,23
Do11.2;DonFuad;2011;Año1;Do11;2;3,54;7,95;0,14;0,48;14,49;13,86;9,08;0,22;0,29;36;1;400;110;13;0,09;13;15,4;1,53;63;47,79;0,39;13,86;0,03;0,13;1,07;154;1,07;41,27;31,31;0,25;9,08;0,02;0,08;0,7;100,89;0,7;0,76;0,01;0,22;0;0;0,02;2,44;0,02;36;0,09;0,33;2,77;400;2,77;0;0,01;0,08;11,11;0,08;3,64;30,77;4444,44;30,77;8,46;1222,22;8,46;144,44;1;0,01;90;58,96;1,43;1,88;104,27;29;1,73;36,98;5,25;2,54;2,15;448;101;29;10;31;242;16,76;0,78;5,52;11,42;13,49;0,06;0,29;1;2,9;0,94;0,12;0,05;0,33;0,68;0,8;0;0,02;0,06;0,17;0,06;0,01;7,04;14,56;17,2;0,08;0,37;1,28;3,7;1,19;0,15;2,07;2,44;0,01;0,05;0,18;0,53;0,17;0,02;1,18;0,01;0,03;0,09;0,25;0,08;0,01;0;0,02;0,07;0,22;0,07;0,01;4,44;15,45;44,8;14,45;1,85;3,48;10,1;3,26;0,42;2,9;0,94;0,12;0,32;0,04;0,13;13,8;7,4;8,4;0;20,3;35,3;1,25;15;17,6;35,44;13,23
Do11.3;DonFuad;2011;Año1;Do11;3;3,12;5,44;0,13;0,77;31,4;7,04;1,56;0,33;0,11;122,78;4,4;286,71;38,67;50,59;0,2;58,69;9,04;4,51;21,33;64;0,06;1,6;0,02;0,18;0,14;35,2;0,12;4,73;14,18;0,01;0,35;0,01;0,04;0,03;7,8;0,03;3;0;0,08;0;0,01;0,01;1,65;0,01;27,9;0,43;3,18;2,43;613,9;2,09;0,02;0,11;0,09;22;0,07;7,41;5,67;1433,55;4,89;0,76;193,35;0,66;252,95;0,86;0;77,88;17,26;3,65;1,22;26,06;28,5;1,73;35,48;8,41;2,93;2,13;369,34;83,89;31,7;10,14;19,63;52,41;16,47;0,8;3,39;9,73;13,38;0,08;0,34;0,9;2,81;1,45;0,54;0,05;0,21;0,59;0,81;0;0,02;0,05;0,17;0,09;0,03;4,22;12,11;16,66;0,1;0,42;1,12;3,5;1,81;0,68;2,87;3,95;0,02;0,1;0,27;0,83;0,43;0,16;1,38;0,01;0,03;0,09;0,29;0,15;0,06;0,01;0,03;0,07;0,21;0,11;0,04;4,4;11,65;36,42;18,82;7,05;2,65;8,27;4,27;1,6;3,13;1,61;0,6;0,52;0,19;0,37;13,6;7,2;8,2;0;20,2;35;1,25;18,6;20,5;35,44;13,23
Do11.4;DonFuad;2011;Año1;Do11;4;3,21;5,41;0,2;0,21;15,18;5,74;1,3;0,18;0,07;36,19;1,74;289,3;26,27;57,81;0,04;10,62;7,29;4,42;31,89;82;0,16;3,3;0,02;0,22;0,1;143,5;0,54;7,22;18,57;0,04;0,75;0;0,05;0,02;32,5;0,12;2,57;0;0,1;0;0,01;0;4,5;0,02;20,8;0,13;1,38;0,63;904,75;3,41;0,01;0,07;0,03;43,5;0,16;11,01;5;7232,5;27,24;0,45;656,75;2,47;1445,25;5,44;0;78,74;17,83;2,47;0,96;39,11;28,4;1,78;32,08;8,52;4,05;2,05;279,88;85,94;31,34;8,25;13,23;41,08;15,96;0,89;3,33;7,01;13,85;0,1;0,33;0,91;3,44;2,15;0,69;0,06;0,21;0,44;0,87;0,01;0,02;0,06;0,22;0,13;0,04;3,77;7,92;15,65;0,11;0,37;1,02;3,89;2,42;0,78;2,1;4,16;0,03;0,1;0,27;1,03;0,64;0,21;1,98;0,01;0,05;0,13;0,49;0,31;0,1;0,01;0,02;0,07;0,25;0,15;0,05;3,26;8,93;33,92;21,15;6,81;2,74;10,42;6,5;2,09;3,8;2,37;0,76;0,62;0,2;0,32;12,8;7,2;8,2;0;19,7;35,5;1,25;15;13,1;35,44;13,23
